,관광지,날짜,버즈량,위치
1839,관덕정,2021-01-15,14,제주시
1840,관덕정,2021-01-16,5,제주시
1841,관덕정,2021-01-17,5,제주시
1842,관덕정,2021-01-18,12,제주시
1843,관덕정,2021-01-19,9,제주시
1844,관덕정,2021-01-20,10,제주시
1845,관덕정,2021-01-21,4,제주시
1846,관덕정,2021-01-22,6,제주시
1847,관덕정,2021-01-23,8,제주시
1848,관덕정,2021-01-24,4,제주시
1849,관덕정,2021-01-25,6,제주시
1850,관덕정,2021-01-26,6,제주시
1851,관덕정,2021-01-27,6,제주시
1852,관덕정,2021-01-28,6,제주시
1853,관덕정,2021-01-29,8,제주시
1854,관덕정,2021-01-30,4,제주시
1855,관덕정,2021-01-31,6,제주시
1856,관덕정,2021-02-01,10,제주시
1857,관덕정,2021-02-02,2,제주시
1858,관덕정,2021-02-03,17,제주시
1859,관덕정,2021-02-04,7,제주시
1860,관덕정,2021-02-05,11,제주시
1861,관덕정,2021-02-06,4,제주시
1862,관덕정,2021-02-07,10,제주시
1863,관덕정,2021-02-08,5,제주시
1864,관덕정,2021-02-09,12,제주시
1865,관덕정,2021-02-10,7,제주시
1866,관덕정,2021-02-11,3,제주시
1867,관덕정,2021-02-12,6,제주시
1868,관덕정,2021-02-13,3,제주시
1869,관덕정,2021-02-14,5,제주시
1870,관덕정,2021-02-15,12,제주시
1871,관덕정,2021-02-16,14,제주시
1872,관덕정,2021-02-17,5,제주시
1873,관덕정,2021-02-18,5,제주시
1874,관덕정,2021-02-19,4,제주시
1875,관덕정,2021-02-20,8,제주시
1876,관덕정,2021-02-21,6,제주시
1877,관덕정,2021-02-22,6,제주시
1878,관덕정,2021-02-23,18,제주시
1879,관덕정,2021-02-24,8,제주시
1880,관덕정,2021-02-25,8,제주시
1881,관덕정,2021-02-26,7,제주시
1882,관덕정,2021-02-27,17,제주시
1883,관덕정,2021-02-28,4,제주시
1884,관덕정,2021-03-01,9,제주시
1885,관덕정,2021-03-02,3,제주시
1886,관덕정,2021-03-03,4,제주시
1887,관덕정,2021-03-04,8,제주시
1888,관덕정,2021-03-05,14,제주시
1889,관덕정,2021-03-06,7,제주시
1890,관덕정,2021-03-07,6,제주시
1891,관덕정,2021-03-08,11,제주시
1892,관덕정,2021-03-09,7,제주시
1893,관덕정,2021-03-10,8,제주시
1894,관덕정,2021-03-11,7,제주시
1895,관덕정,2021-03-12,13,제주시
1896,관덕정,2021-03-13,8,제주시
1897,관덕정,2021-03-14,10,제주시
1898,관덕정,2021-03-15,5,제주시
1899,관덕정,2021-03-16,5,제주시
1900,관덕정,2021-03-17,7,제주시
1901,관덕정,2021-03-18,9,제주시
1902,관덕정,2021-03-19,4,제주시
1903,관덕정,2021-03-20,8,제주시
1904,관덕정,2021-03-21,11,제주시
1905,관덕정,2021-03-22,15,제주시
1906,관덕정,2021-03-23,14,제주시
1907,관덕정,2021-03-24,9,제주시
1908,관덕정,2021-03-25,11,제주시
1909,관덕정,2021-03-26,4,제주시
1910,관덕정,2021-03-27,8,제주시
1911,관덕정,2021-03-28,16,제주시
1912,관덕정,2021-03-29,15,제주시
1913,관덕정,2021-03-30,7,제주시
